tabname,fieldname,position,keyflag,rollname,domname,datatype,leng,decimals,notnull,checktable,reftable,reffield,ddtext
/BA1/HFSPD,CLIENT,1,X,,MANDT,CLNT,3,0,X,,,, Client
/BA1/HFSPD,/BA1/C55POSTD,2,X,,,DATS,8,0,X,,,,Posting Date
/BA1/HFSPD,/BA1/C55LGENT,3,X,,,CHAR,4,0,X,,,,Legal Entity
/BA1/HFSPD,/BA1/C55DOCNUM,4,X,,,CHAR,10,0,X,,,,Journal Entry Number
/BA1/HFSPD,/BA1/C55DOCITM,5,X,,,NUMC,6,0,X,,,,Journal Entry Line Item Number
/BA1/HFSPD,/BA1/C55ACCSY,6,,,,CHAR,4,0,,,,, Accounting System
/BA1/HFSPD,/BA1/C55PRCSCT,7,,,,CHAR,1,0,,,,, Process Category (Update Run, Trial Run, Scenario Run)
/BA1/HFSPD,/BA1/K11PRTKY,8,,,,CHAR,10,0,,,,, Partitioning Key
/BA1/HFSPD,/BA1/CRORDA,9,,,,CHAR,4,0,,,,, Results Data Area
/BA1/HFSPD,/BA1/CROTYPE,10,,,,CHAR,4,0,,,,, Result Type
/BA1/HFSPD,/BA1/CROCRUSER,11,,,,CHAR,12,0,,,,, Created By
/BA1/HFSPD,/BA1/CROTSTMP,12,,,,DEC,15,0,,,,, System Time
/BA1/HFSPD,/BA1/C93TCID,13,,,,CHAR,32,0,,,,, ID of Timestamp Collection
/BA1/HFSPD,/BA1/K11RNDM,14,,,,INT4,10,0,,,,, Random Number
/BA1/HFSPD,/BA1/CRONDTP00,15,,,,CHAR,2,0,,,,, Result Node Type: Level 0
/BA1/HFSPD,/BA1/KROSPDHD,16,,,,INT4,10,0,,,,, Node Counter Key Figure for Result Node Category SPDHD
/BA1/HFSPD,/BA1/CRONDTP01,17,,,,CHAR,2,0,,,,, Result Node Type: Level 1
/BA1/HFSPD,/BA1/KROSPDIT,18,,,,INT4,10,0,,,,, Node Counter Key Figure for Result Node Category SPDIT
/BA1/HFSPD,/BA1/CRONDTP02,19,,,,CHAR,2,0,,,,, Result Node Type: Level 2
/BA1/HFSPD,/BA1/KROSPDGP,20,,,,INT4,10,0,,,,, Node Counter Key Figure for Result Node Category SPDGP
/BA1/HFSPD,ARCHIVE_FLUD,21,,,,DATS,8,0,,,,, Resubmission Date
/BA1/HFSPD,ARCHIVE_STATUS,22,,,,CHAR,1,0,,,,, Archiving Status
/BA1/HFSPD,REJECTION,23,,,,CHAR,40,0,,,,, Rejection Reason
/BA1/HFSPD,/BA1/C55ACCSC,24,,,,CHAR,10,0,,,,, Accounting Scenario
/BA1/HFSPD,/BA1/CR0SCRFDT,25,,,,DATS,8,0,,,,, Scenario Reference Date
